threshold,precision,recall,f1,false_positive_rate,false_negative_rate,policy_utility
0.1,0.48157248157248156,0.8711111111111111,0.6202531645569619,0.12448377581120944,0.12888888888888894,0.7179460012371404
0.12,0.5,0.8488888888888889,0.6293245469522241,0.11268436578171091,0.15111111111111108,0.7132418085301117
0.14,0.5297450424929179,0.8311111111111111,0.6470588235294118,0.09793510324483776,0.16888888888888887,0.7156222111129626
0.16,0.5505952380952381,0.8222222222222222,0.6595365418894831,0.08908554572271386,0.1777777777777778,0.7190911212970037
0.18,0.5759493670886076,0.8088888888888889,0.6728280961182994,0.07905604719764012,0.19111111111111112,0.7214827466976557
0.2,0.5966666666666667,0.7955555555555556,0.6819047619047619,0.07138643067846608,0.20444444444444443,0.7216825396825397
0.22,0.6111111111111112,0.7822222222222223,0.686159844054581,0.06607669616519174,0.21777777777777774,0.7191812865497076
0.24,0.6218181818181818,0.76,0.684,0.06135693215339233,0.24,0.7095636363636364
0.26,0.6353383458646616,0.7511111111111111,0.6883910386965377,0.057227138643067846,0.24888888888888894,0.7091405363374491
0.28,0.65748031496063,0.7422222222222222,0.697286012526096,0.05132743362831858,0.2577777777777778,0.7117929778610659
0.3,0.6666666666666666,0.7377777777777778,0.70042194092827,0.04896755162241888,0.26222222222222225,0.7123488045007031
0.32,0.6962025316455697,0.7333333333333333,0.7142857142857143,0.04247787610619469,0.2666666666666667,0.7201928872814949
0.34,0.7212389380530974,0.7244444444444444,0.7228381374722838,0.03716814159292035,0.27555555555555555,0.7233214510745268
0.36,0.7375565610859729,0.7244444444444444,0.7309417040358744,0.03421828908554572,0.27555555555555555,0.7290160456501792
0.38,0.7476190476190476,0.6977777777777778,0.7218390804597702,0.03126843657817109,0.30222222222222217,0.7149644225506294
0.4,0.7572815533980582,0.6933333333333334,0.7238979118329466,0.029498525073746312,0.30666666666666664,0.7152923508961623
0.42,0.7587939698492462,0.6711111111111111,0.7122641509433962,0.02831858407079646,0.3288888888888889,0.7009935948084237
0.44,0.7823834196891192,0.6711111111111111,0.722488038277512,0.024778761061946902,0.3288888888888889,0.7087786509766331
0.46,0.7967914438502673,0.6622222222222223,0.7233009708737864,0.022418879056047197,0.33777777777777773,0.7074596911433007
0.48,0.8097826086956522,0.6622222222222223,0.7286063569682152,0.02064896755162242,0.33777777777777773,0.7116495399407061
0.5,0.8121546961325967,0.6533333333333333,0.7241379310344828,0.020058997050147492,0.3466666666666667,0.7063389852035309
0.52,0.8160919540229885,0.6311111111111111,0.711779448621554,0.01887905604719764,0.36888888888888893,0.6923077809466194
0.54,0.8363636363636363,0.6133333333333333,0.7076923076923075,0.01592920353982301,0.3866666666666667,0.6862470862470862
0.56,0.8481012658227848,0.5955555555555555,0.6997389033942558,0.01415929203539823,0.4044444444444445,0.6773197019606114
0.58,0.8609271523178808,0.5777777777777777,0.6914893617021276,0.012389380530973451,0.4222222222222223,0.6685211278631032
0.6,0.8648648648648649,0.5688888888888889,0.6863270777479893,0.011799410029498525,0.4311111111111111,0.6633155407418142
0.62,0.8811188811188811,0.56,0.6847826086956521,0.010029498525073746,0.43999999999999995,0.6616585588324719
0.64,0.8857142857142857,0.5511111111111111,0.6794520547945205,0.00943952802359882,0.4488888888888889,0.6565340291367688
0.66,0.8913043478260869,0.5466666666666666,0.6776859504132231,0.008849557522123894,0.45333333333333337,0.6548999880225176
0.68,0.9047619047619048,0.5066666666666667,0.6495726495726496,0.007079646017699115,0.4933333333333333,0.6291575091575092
0.7,0.9032258064516129,0.49777777777777776,0.6418338108882522,0.007079646017699115,0.5022222222222222,0.6220841934456871
